City_Name,n,AcresNeeded_to_HighIncomeUHI,AcresNeeded_to_HighIncomeCanopyPercent,PercentNeeded_to_HighIncomeCanopyPercent,AcresNeeded_to_HighIncomeUHI_Lim,AcresNeeded_to_HighIncomeCanopyPercent_Lim,HiInco_CanAcres,HiInco_CanopyPercent,LoInco_CanAcres,LoInco_CanopyPercent,HiLo_TreeGap_Perc,HiLo_TreeGap_Acres,Potential_Acres,Total_Area_Acres,Potential_Acres_vs_AcresNeeded_to_HighIncomeUHI,Potential_Acres_vs_AcresNeeded_to_HighIncomeCanopyPercent,Total_CanopyAcres,Total_CanopyPercent,Current_Avg_UHI,Current_Std_UHI,Modeled_Avg_UHI,Modeled_Std_UHI,MinPot_Avg_UHI,MinPot_Std_UHI,TGPot_Avg_UHI,TGPot_Std_UHI,MinDiff_Avg_UHI,MinDiff_Std_UHI,TGDiff_Avg_UHI,TGDiff_Std_UHI,UGPot_Avg_UHI_Lim,UGPot_Std_UHI_Lim,TGPot_Avg_UHI_Lim,TGPot_Std_UHI_Lim,UGDiff_Avg_UHI_Lim,UGDiff_Std_UHI_Lim,TGDiff_Avg_UHI_Lim,TGDiff_Std_UHI_Lim,HiInco_UHI,LoInco_UHI,HiLo_UHIGap,Regr_r2,Regr_slope,SlopeConf95Low,SlopeConf95High,Income_Quartile_1_MaxVal,Income_Quartile_2_MaxVal,Income_Quartile_3_MaxVal,Income_Quartile_1_Population,Income_Quartile_2_Population,Income_Quartile_3_Population,Income_Quartile_4_Population,Total_Population,Pot_kW_Low,Pot_kW_High
"Los Angeles--Long Beach--Anaheim, CA",7541,451511.03,65907.09999999999,6.212329731340028,173468.23,61382.420000000006,254405.72641000003,23.98,153513.380365,14.47,9.51,100892.34604500004,284379.54,1060907.95,284379.54,65907.09999999999,214494.11,20.217975555749206,6.328542188415122,2.4168544381275407,6.158656076618146,2.0873735348979063,5.264486951671915,2.5200856035272916,6.081976092742071,2.3534918687378776,1.06420915744858,0.47438501286777723,0.24660654508244564,0.25051455624853713,5.678880472335042,2.0821343867759405,6.098928791230191,2.3631621478626585,0.6490862523935277,0.5617880201042603,0.22967130748713876,0.22869815397428647,5.17,7.89,2.7199999999999998,0.6,-3.97,-4.51,-3.43,48750.0,69375.0,96068.0,3273135.0,3205711.0,3035582.0,2841080.0,12355508.0,91091.37,371160.99
"San Francisco--Oakland, CA",2219,169446.38,18585.550000000003,5.620129100992834,49059.49,17803.67,63923.563861999995,19.33,27976.893444000005,8.46,10.869999999999997,35946.670417999994,78096.17,330696.14,78096.17,18585.550000000003,72747.69,21.99834869557292,3.406634892079478,2.336480574499587,3.043908247613655,1.8452260749218115,2.663879586559432,2.340179384512705,3.229871189908658,2.2814566946399526,0.742646823455514,0.274429211598696,0.1767676272241944,0.19056199653571942,2.9401018581589735,2.0631288244078534,3.2372571944746613,2.2831025618784175,0.4663946972589399,0.3893099978637775,0.16925192595232588,0.1809211466603574,2.3,4.25,1.9500000000000002,0.49,-3.15,-4.06,-2.23,72231.0,102344.0,138750.0,882218.0,881066.0,873539.0,824225.0,3461048.0,0.0,0.0
"San Diego, CA",1707,191900.41,18556.48,3.973120424464564,64632.19,18320.449999999997,74261.03427,15.9,43482.404343,9.31,6.59,30778.629927,122085.63,467050.53,122085.63,18556.48,66654.02,14.271265252605536,0.2837870499793673,2.1659615001654466,0.23815833288959115,1.9601531562539531,-0.4916037292581596,2.197299261745439,0.16573716488449328,2.1561499818887575,0.7752373071924358,0.2687345320137341,0.11795235924472668,0.12690526898492704,-0.12733242418116947,1.884435475840549,0.16727690984527946,2.156989557198891,0.4104107384269534,0.4034354518597491,0.11643400233375176,0.12493826453561442,-0.36,1.36,1.7200000000000002,0.76,-2.97,-3.89,-2.04,54330.5,76765.0,101376.0,787309.0,748385.0,788953.0,851323.0,3175970.0,11904.640000000001,32109.530000000002
"Sacramento, CA",1053,32846.82,16807.78,5.72575060248405,30486.68,16517.22,63142.000568999996,21.51,52075.27150599999,17.74,3.770000000000003,11066.729063000006,73429.76999999999,293547.19,32846.82,16807.78,59740.92999999999,20.351388817586702,1.6344498034540886,1.475205341468955,1.6000442358177571,1.2043797581174966,-0.6809356631892814,1.4666038169901014,1.1044300424064697,1.2618665019549384,2.3153580690041693,0.8750569229482906,0.5301014695456631,0.5692978240609283,0.6741491243707699,0.8167825644878922,1.1135905603456806,1.2515977193708763,0.9614109700726482,0.879800422038039,0.5209313933476931,0.5579551265155562,0.92,2.23,1.31,0.62,-9.26,-9.84,-8.67,48327.0,69606.0,95119.0,417652.0,433748.0,442380.0,544834.0,1838614.0,0.0,0.0
"San Jose, CA",992,17977.140000000003,9595.559999999998,5.5690532163801745,15730.49,9589.779999999999,35476.870614,20.59,22709.332428,13.18,7.41,12767.538185999998,42875.130000000005,172301.45999999996,17977.140000000003,9595.559999999998,33428.79,19.40133879306653,1.536714454421919,1.731475526713749,1.5320050689065554,1.7420866936420611,-0.6452068328382128,1.8990203267628558,1.0483264250923936,1.554461772838018,2.182178763894398,0.6532691404537113,0.4884139130335867,0.45397775634612697,0.7374407036365218,1.1183491590682701,1.048624176486955,1.5545937616052357,0.8005518322363608,0.8375584901286058,0.4881271714122447,0.4535351292414394,1.15,2.88,1.73,0.78,-8.77,-9.56,-7.98,88064.5,123031.5,158759.5,464798.0,454777.0,450032.0,389812.0,1759419.0,0.0,0.0
"Riverside--San Bernardino, CA",984,37174.62,19429.700000000004,5.859431956846172,36875.97,19398.940000000002,67115.230776,20.24,53188.15719599999,16.04,4.199999999999999,13927.073580000004,117732.33,331596.99,37174.62,19429.700000000004,52489.28,15.82923898072778,1.2276729653064704,1.6692122898787198,1.1787880646926259,1.2885944489216294,-3.224697757057445,1.9253729307994443,0.4930536411081416,1.4632349250249195,4.453085653461451,1.2276053990443303,0.734952593206591,0.6591541025168175,-0.1691237948209361,0.6950336414982329,0.4942290196904381,1.4616929178042017,1.3946124670793907,1.2129637843475052,0.7338045490099292,0.6578716280855961,0.1,2.26,2.1599999999999997,0.59,-12.54,-13.76,-11.32,45258.5,61278.5,82550.0,454586.0,459453.0,504788.0,607209.0,2026036.0,116850.29999999999,307996.52
"Fresno, CA",402,15292.369999999999,6998.719999999999,6.546918466042125,13533.16,6958.29,21251.914823999996,19.88,16387.920233999997,15.33,4.549999999999999,4863.994589999998,24260.78,106900.98000000001,15292.369999999999,6998.719999999999,15653.169999999998,14.642681479627218,2.069860119149516,1.2840537384906916,2.118903119503675,1.0372500245635585,0.1539119753626206,1.2363749882268207,1.5172507838562377,1.1643204191406893,1.9152689086666932,0.6424838927665351,0.5527984523621766,0.4407154470801757,1.0022448278771625,0.6841095938724194,1.5204098353448208,1.1633188422830083,1.0682401611285508,0.8278757755835837,0.5495838924956534,0.4385827588596673,1.04,2.92,1.88,0.73,-8.44,-9.72,-7.16,32045.0,47392.0,74764.75,158815.0,154087.0,168917.0,218748.0,700567.0,0.0,0.0
"Concord, CA",366,15999.43,6554.450000000001,5.330745407285232,11554.960000000001,6399.3499999999985,29361.79728,23.88,25955.92716,21.11,2.7699999999999996,3405.8701199999996,30668.07,122955.6,15999.43,6554.450000000001,30383.479999999996,24.710936305463104,1.525598382668215,1.5010737265814211,1.4821931851822934,1.2696232040645676,0.34414030186506356,1.5016503788779494,1.273288170689257,1.3934100405509358,1.181784067582119,0.3330819165361235,0.2528589181785945,0.31267401946257406,1.079755793961397,1.123902562682882,1.279301862623581,1.3978122657609402,0.44526268994661483,0.5307334159313299,0.24684522624427027,0.3029297689887001,1.46,2.38,0.9199999999999999,0.63,-4.74,-5.88,-3.6,92690.0,120635.0,161998.75,139796.0,162907.0,169748.0,192908.0,665359.0,0.0,0.0
"Mission Viejo--Lake Forest--San Clemente, CA",354,14195.43,4271.58,4.980174694004513,9621.390000000001,4152.049999999999,26263.291478000003,30.62,23895.992834,27.86,2.7600000000000016,2367.2986440000022,26670.149999999998,85771.69,14195.43,4271.58,23451.48,27.341748775149465,0.5054042446872622,1.8778166835943595,0.5222246990819465,1.4603302676793852,-1.0973889671522155,1.9160693360171517,0.2489621552286075,1.9245538375551627,1.6023693831845915,0.5341206344045205,0.2567503403512278,0.3014934767103623,-0.07361833374158767,1.3268879037308674,0.25612938488212145,1.9227284432993805,0.5781489381869471,0.7153721795543259,0.24962411723495248,0.2889928414127853,0.34,1.42,1.0799999999999998,0.65,-5.15,-7.04,-3.27,80007.25,109180.5,143320.0,123837.0,135906.0,137937.0,174768.0,572448.0,5675.93,29419.489999999998
"Bakersfield, CA",281,10348.609999999999,3136.3199999999997,3.611249506468784,9978.559999999998,3136.3199999999997,9423.074185000001,10.85,7764.265733999999,8.94,1.9100000000000001,1658.8084510000026,24382.05,86848.61000000002,10348.609999999999,3136.3199999999997,7111.25,8.188098807798996,2.3046206346883387,1.2144393019864725,2.29607314958754,1.044019910613724,-0.9532310983445791,1.8505204222263603,1.885568345883716,1.0428489470344005,3.258624170265937,1.0375664274017442,0.4188470132106892,0.37099319653389784,0.9678842056309248,0.4335039742863602,1.885568345883716,1.0428489470344005,1.3335417319862688,0.9303278759321613,0.4188470132106892,0.37099319653389784,1.06,3.18,2.12,0.79,-11.61,-13.25,-9.96,33468.0,47045.0,69293.0,103455.0,129904.0,134243.0,196167.0,563769.0,0.0,0.0
