City_Name,n,AcresNeeded_to_HighIncomeUHI,AcresNeeded_to_HighIncomeCanopyPercent,PercentNeeded_to_HighIncomeCanopyPercent,AcresNeeded_to_HighIncomeUHI_Lim,AcresNeeded_to_HighIncomeCanopyPercent_Lim,HiInco_CanAcres,HiInco_CanopyPercent,LoInco_CanAcres,LoInco_CanopyPercent,HiLo_TreeGap_Perc,HiLo_TreeGap_Acres,Potential_Acres,Total_Area_Acres,Potential_Acres_vs_AcresNeeded_to_HighIncomeUHI,Potential_Acres_vs_AcresNeeded_to_HighIncomeCanopyPercent,Total_CanopyAcres,Total_CanopyPercent,Current_Avg_UHI,Current_Std_UHI,Modeled_Avg_UHI,Modeled_Std_UHI,MinPot_Avg_UHI,MinPot_Std_UHI,TGPot_Avg_UHI,TGPot_Std_UHI,MinDiff_Avg_UHI,MinDiff_Std_UHI,TGDiff_Avg_UHI,TGDiff_Std_UHI,UGPot_Avg_UHI_Lim,UGPot_Std_UHI_Lim,TGPot_Avg_UHI_Lim,TGPot_Std_UHI_Lim,UGDiff_Avg_UHI_Lim,UGDiff_Std_UHI_Lim,TGDiff_Avg_UHI_Lim,TGDiff_Std_UHI_Lim,HiInco_UHI,LoInco_UHI,HiLo_UHIGap,Regr_r2,Regr_slope,SlopeConf95Low,SlopeConf95High,Income_Quartile_1_MaxVal,Income_Quartile_2_MaxVal,Income_Quartile_3_MaxVal,Income_Quartile_1_Population,Income_Quartile_2_Population,Income_Quartile_3_Population,Income_Quartile_4_Population,Total_Population,Pot_kW_Low,Pot_kW_High
"Santa Rosa, CA",242,6271.799999999999,2674.75,4.445425761182039,5594.139999999999,2635.6499999999996,13465.730442,22.38,11419.998381999998,18.98,3.3999999999999986,2045.732060000002,15738.14,60168.59,6271.799999999999,2674.75,13881.880000000001,23.071639205771653,2.0476504900646666,1.3399116229676855,1.9192966180527082,1.0907001140774857,0.4609758147897433,1.2479655039769322,1.778163021603132,1.161704374214456,1.5867153011230613,0.463294526715276,0.2696936640861951,0.3236905777369314,1.4819342916295695,0.886507017719674,1.7820320585873792,1.161720701660417,0.5640504140116962,0.6249461171947195,0.2656564081026329,0.3149371427911827,1.85,2.53,0.6799999999999997,0.66,-6.07,-7.23,-4.9,59240.75,77120.5,96122.0,80158.0,84387.0,83211.0,86130.0,333886.0,0.0,0.0
"Stockton, CA",223,5176.0,3199.58,5.91604510762976,4935.26,3152.81,9751.181127,18.03,7111.926334999999,13.15,4.880000000000001,2639.2547920000006,12338.349999999999,54083.090000000004,5176.0,3199.58,7526.910000000002,13.917307609457968,4.061039646588239,1.623745098376844,3.967901763749075,1.3933282699527685,1.4472309034117685,1.7066247377810682,3.3837205640432155,1.371828186156169,2.6140518431916515,1.044962067470336,0.6781638308757876,0.6141964080194621,3.0157574668902973,0.8615959397762496,3.3935687494926787,1.3620039838793092,1.0457883083233595,0.9981004347363912,0.6682343630883516,0.6055925147109315,3.35,4.81,1.4599999999999995,0.75,-11.46,-13.42,-9.49,36463.5,47143.0,63449.5,69906.0,84705.0,91852.0,148870.0,395333.0,0.0,0.0
"Modesto, CA",218,10842.810000000001,2957.76,4.989846575916522,7025.98,2943.0,10681.457714,18.02,7065.647944,11.92,6.1,3615.80977,13950.31,59275.56999999999,10842.810000000001,2957.76,9269.029999999999,15.637184087812232,5.867257964790554,1.2877968355725142,5.755378566583166,0.9946586211728489,4.842971018245797,1.274404631616564,5.649691414186316,1.1884962240812997,1.0237952228886202,0.3994243078194049,0.2167928473737157,0.21361198849465723,5.350436000868486,0.9532061558503028,5.650788176309398,1.1876651787592631,0.5160320061030202,0.5310479763614202,0.21569608525063533,0.21209837751160063,5.3,6.48,1.1800000000000006,0.6,-4.35,-6.05,-2.65,40009.5,53259.0,70781.0,75859.0,87939.0,90380.0,132864.0,387042.0,0.0,0.0
"Oxnard, CA",188,0.0,4703.23,8.181445604484109,0.0,4452.96,13837.010178,24.07,9146.108514,15.91,8.16,4690.901664000001,16361.199999999999,57486.54,0.0,4703.23,10893.119999999999,18.94899223366026,2.85993135784481,1.4727639427948949,2.830298163709279,1.0567357795020444,2.85993135784481,1.4727639427948949,2.8132425625198523,1.4481387992440196,0.0,0.0,0.04703559998566621,0.10136434123585909,2.85993135784481,1.4727639427948949,2.85993135784481,1.4727639427948949,0.0,0.0,0.0,0.0,2.48,3.24,0.7600000000000002,0.52,1.53,-0.36,3.42,55750.25,71309.5,88242.25,95047.0,106398.0,90317.0,103517.0,395279.0,0.0,0.0
"Murrieta--Temecula--Menifee, CA",183,18451.89,2386.89,2.4607549742119135,16649.930000000004,2386.89,11891.989128000001,12.26,13007.469347999999,13.41,-1.1500000000000004,-1115.4802199999976,31937.140000000003,96998.28,18451.89,2386.89,10864.09,11.200291386610155,-0.6557896191561333,1.903201430387198,-0.7647348210710542,1.4391937670974442,-4.015746811180569,1.9305442374803614,-0.9069471035981257,1.8506898585406188,3.3601644792051983,0.9924533691889831,0.2510600126105329,0.2708863727388393,-2.4049731675654455,0.7885409610247389,-0.9069471035981257,1.8506898585406188,1.7519004780290952,1.331755993928347,0.2510600126105329,0.2708863727388393,-2.37,0.85,3.22,0.47,-10.2,-16.11,-4.3,62519.0,83681.0,100989.5,103075.0,124214.0,123706.0,152439.0,503434.0,23365.379999999997,61931.56999999999
"Indio--Cathedral City, CA",181,17088.57,2049.18,2.205325894644402,14159.2,2023.09,10063.192680000002,10.83,7628.699160000001,8.21,2.619999999999999,2434.493520000001,35560.33,92919.6,17088.57,2049.18,8767.609999999999,9.435694944877076,-3.72130421676374,1.663934329315871,-3.7490849530131416,1.3450986791962558,-6.723022770222859,2.355593623693729,-3.8942451764751462,1.5836309294316373,3.001974772814347,0.8417145450104359,0.17323447582641335,0.19605738049954208,-4.915604522619555,0.9203361325521917,-3.8920210924282928,1.5860350641777914,1.1953571506980227,0.9718812194842426,0.17101039177955996,0.1913744718405406,-4.87,-2.37,2.5,0.66,-7.84,-12.57,-3.12,38019.0,53882.0,70192.0,93327.0,108912.0,89134.0,88048.0,379421.0,53115.8,82034.97
"Lancaster--Palmdale, CA",148,112740.73999999999,2275.59,3.4338726863019184,18417.780000000002,2275.59,8223.971731000001,12.41,8011.911218999999,12.09,0.3200000000000003,212.06051200000275,23140.449999999997,66268.90999999999,23140.449999999997,2275.59,6824.6,10.29834352187172,-4.520591168618891,1.6673309272488726,-4.545047713927994,1.169398822474351,-4.903879010534504,1.6684947981549147,-4.5578546893256595,1.6595283243544143,0.383144975524722,0.1025542795696504,0.037220624271623,0.034951158417967955,-4.825594288483091,1.5670815016926056,-4.5578546893256595,1.6595283243544143,0.30469542655824583,0.17280096180094506,0.037220624271623,0.034951158417967955,-6.3,-3.99,2.3099999999999996,0.65,-1.1,-6.29,4.09,38788.25,53470.5,68883.75,67426.0,84292.0,94339.0,103520.0,349577.0,1982.82,5376.34
"Santa Barbara, CA",147,4844.4,2622.45,8.076778441966663,3916.57,2545.14,14214.932578000004,43.78,9347.827979,28.79,14.990000000000002,4867.104599000004,11456.119999999999,32469.01,4844.4,2622.45,12303.420000000002,37.89280917404012,2.2181933388175374,2.194961481027307,2.3149626828782277,1.5784391553734023,0.5154711708179585,2.188717192960373,1.8284299706088976,2.0978041351352275,1.7031280165302238,0.35236303362887933,0.38996373157050374,0.3951852933839226,1.6347633297103918,1.725831107888339,1.8399797191229423,2.098233134944132,0.5823203202068681,0.6913696966594478,0.37841398305645907,0.3744464300489888,2.43,4.43,1.9999999999999996,0.64,-4.83,-8.14,-1.52,56614.5,86176.0,118988.5,56575.0,47141.0,49878.0,42711.0,196305.0,1440.25,5936.35
"Victorville--Hesperia, CA",134,14692.54,1432.2600000000002,1.3790380933445088,12757.93,1432.2600000000002,4704.828555,4.53,5234.51124,5.04,-0.5099999999999998,-529.6826849999998,35952.14,103859.35,14692.54,1432.2600000000002,4153.959999999999,3.9996013839870934,-4.223405093523115,1.6155818962796908,-4.274829643166455,0.7618883981849408,-7.60171743035172,1.9614287430281532,-4.357326761625217,1.5990740867870572,3.378172737456955,0.918027460038569,0.13461374060207384,0.11773554944565565,-5.423344252587754,0.9258677603541237,-4.357326761625217,1.5990740867870572,1.1988346672687629,0.9982131402458779,0.13461374060207384,0.11773554944565565,-5.45,-3.71,1.7400000000000002,0.26,-9.76,-23.61,4.09,39555.0,52233.5,64970.25,72866.0,86904.0,83034.0,113150.0,355954.0,17185.270000000004,46598.05
"Santa Cruz, CA",131,4883.38,2804.18,7.896084733855105,2946.37,2556.88,14834.009835,41.77,6033.752145,16.99,24.780000000000005,8800.25769,7754.5599999999995,35513.55,4883.38,2804.18,16134.279999999999,45.43133536354433,6.862339684430309,1.6826309354608555,6.801042050147056,1.1366480076276781,5.762447054715735,1.6815125165636122,6.464088684459875,1.620293906677939,1.0996709593943719,0.4522949992450855,0.3978201193628911,0.5655931441563742,6.44505483399998,1.2790969407946857,6.499243012878183,1.62755155950799,0.41803426297849683,0.5278746564412895,0.36267214344947213,0.5090740614256163,6.86,7.6,0.7399999999999993,0.52,-5.04,-7.42,-2.66,68990.0,85066.0,106784.5,44070.0,42714.0,41346.0,46823.0,174953.0,0.0,0.0
